FCTY,$7.61,1439681702428,[u'4,394']
TFSCW,NULL,1439681702448,[]
TFSCU,$10.14,1439681702466,[u'1,300']
TFSCR,NULL,1439681702555,[]
TFSC,NULL,1439681702571,[]
FLWS,$9.56,1439681702615,[u'126,247']
SYMBOL,NULL,1439681702670,[]
PIH,$7.64,1439681702754,[u'1,730']
SRCE,$31.28,1439681702775,[u'21,517']
TWOU,$36.03,1439681702806,[u'576,550']
FCCY,$11.5,1439681702826,[u'16,670']
DGLD,$85.97,1439681702949,[u'2,192']
DSLV,$62.91,1439681703012,[u'21,916']
VNET,$20.66,1439681703224,[u'200,730']
UGLD,$8.83,1439681703283,[u'94,710']
USLV,$14.535,1439681703344,[u'190,883']
CAFD,$15.77,1439681703377,[u'185,031']
EGHT,$8.55,1439681703424,[u'333,074']
JOBS,$28.7271,1439681703444,[u'106,996']
AVHI,$14.11,1439681703460,[u'28,080']
SIXD,$3.03,1439681703488,[u'277,881']
ABAX,$48.45,1439681703756,[u'84,225']
AAON,$23.23,1439681703804,[u'51,218']
ABEO,$5.35,1439681703827,[u'186,951']
SHLM,$35.6,1439681703850,[u'80,215']
ABY,$22.52,1439681703922,[u'705,220']
ABEOW,$2.13,1439681703943,[u'1,800']
ABGB,$5.07,1439681704072,[u'74,422']
AXAS,$1.81,1439681704249,[u'379,122']
ACTG,$8.57,1439681704270,[u'116,786']
ACAD,$37.88,1439681704313,[u'571,839']
ACST,$0.41,1439681704337,[u'20,840']
AXDX,$19.22,1439681704371,[u'155,089']
ABMD,$103.92,1439681704392,[u'557,866']
ACHC,$81.02,1439681704512,[u'311,607']
XLRN,$31.28,1439681704532,[u'212,721']
ANCX,$19.13,1439681704662,[u'19,975']
ARAY,$6.23,1439681704794,[u'283,727']
VXDN,$16.72,1439681704814,[u'1,110']
VXUP,$17.05,1439681704834,[u'14,800']
ACRX,$4.46,1439681704944,[u'81,777']
ACET,$25.32,1439681704994,[u'55,221']
ACHN,$7.35,1439681705051,[u'1,246,701']
ACNB,$20.2,1439681705075,[u'12,133']
ACIW,$23.03,1439681705091,[u'255,964']
AKAO,$7.64,1439681705321,[u'182,132']
ACOR,$31.84,1439681705341,[u'146,788']
ATVI,$28.6766,1439681705415,[u'1,426,727']
ACTS,$1.57,1439681705438,[u'17,679']
ACUR,$0.66,1439681705605,[u'12,742']
ACPW,$1.92,1439681705630,[u'26,789']
ACTA,$13.65,1439681705641,[u'87,725']
ACXM,$21.16,1439681705738,[u'163,423']
ADMS,$22.15,1439681705810,[u'68,231']
ADUS,$28.7,1439681705904,[u'31,604']
ADAP,$14.36,1439681705970,[u'65,347']
ADMP,$3.49,1439681705990,[u'43,459']
AEY,$2.38,1439681706009,[u'372']
ADEP,$7.17,1439681706132,[u'23,908']
ADMA,$9.31,1439681706160,[u'6,927']
ADBE,$86.12,1439681706171,[u'1,488,568']
ADTN,$15.95,1439681706273,[u'966,602']
AEIS,$26.64,1439681706375,[u'69,176']
ADXS,$16.7101,1439681706480,[u'752,304']
ADRO,$20.83,1439681706503,[u'165,437']
MULT,NULL,1439681706556,[]
AMD,$1.84,1439681706576,[u'4,424,699']
YPRO,$23.04,1439681706595,[u'9,376']
ADXSW,$11.8,1439681706618,[u'14,645']
AEGR,$17.98,1439681706642,[u'572,297']
AEHR,$2.25,1439681706885,[u'3,082']
AMTX,$3.45,1439681706925,[u'24,341']
AVAV,$26.28,1439681706986,[u'73,093']
AEPI,$57.37,1439681707051,[u'21,296']
AEGN,$19.05,1439681707107,[u'123,840']
AEZS,$0.1499,1439681707127,[u'13,347,466']
AERI,$15.37,1439681707200,[u'324,248']
AEMD,$6.99,1439681707321,[u'55,905']
AGEN,$7.27,1439681707350,[u'586,801']
AFMD,$11.15,1439681707372,[u'334,621']
AGRX,$9.06,1439681707448,[u'32,532']
AFFX,$9.64,1439681707481,[u'488,622']
AGFS,$10.85,1439681707609,[u'74,835']
AGYS,$9.38,1439681707641,[u'30,967']
AGFSW,$2.34,1439681707679,[u'25,900']
AGIO,$90.75,1439681707708,[u'345,968']
AIRM,$39.93,1439681707858,[u'106,084']
AIRT,$23.2,1439681707912,[u'250']
AIMT,$26.05,1439681707942,[u'232,264']
ATSG,$9.76,1439681707982,[u'88,070']
AKBA,$7.1,1439681708052,[u'263,383']
AMCN,$4.82,1439681708114,[u'151,232']
AIXG,$5.94,1439681708143,[u'8,324']
AKAM,$73.37,1439681708198,[u'773,832']
AKER,$3.89,1439681708258,[u'9,034']
ALRM,$16.91,1439681708411,[u'68,575']
AKRX,$42.92,1439681708440,[u'267,001']
ALSK,$2.08,1439681708456,[u'97,807']
ABDC,$12.93,1439681708549,[u'35,070']
AMRI,$20.55,1439681708572,[u'197,494']
ALDR,$36.83,1439681708628,[u'390,608']
ADHD,$8.71,1439681708670,[u'222,034']
ALDX,$8.04,1439681708803,[u'21,110']
ALXN,$185.41,1439681708832,[u'547,448']
ALXA,$1.14,1439681708858,[u'26,913']
ALCO,$43.45,1439681708973,[u'31,219']
ALIM,$3.89,1439681709026,[u'99,554']
ALGN,$60.57,1439681709070,[u'200,157']
ALKS,$65.81,1439681709119,[u'824,990']
ALGT,$232.87,1439681709193,[u'82,221']
AIQ,$15.22,1439681709293,[u'11,364']
AFOP,$18.88,1439681709320,[u'59,913']
ALLB,$23.73,1439681709341,[u'13,869']
AHPI,$1.45,1439681709462,[u'840']
AHGP,$35.97,1439681709515,[u'35,741']
ARLP,$24.81,1439681709576,[u'237,016']
ALQA,$4.71,1439681709599,[u'14,930']
AMOT,$18.36,1439681709648,[u'47,491']
ALLT,$5.12,1439681709671,[u'58,210']
MDRX,$14.2339,1439681709758,[u'2,021,647']
AFAM,$48.29,1439681709824,[u'41,050']
ALNY,$105.74,1439681709900,[u'277,534']
SMCP,NULL,1439681709965,[]
AOSL,$7.51,1439681709991,[u'50,258']
ATEC,$0.69,1439681710021,[u'172,754']
ALTR,$49.03,1439681710100,[u'1,221,987']
ASPS,$29.91,1439681710159,[u'79,204']
AMAG,$62.95,1439681710239,[u'322,216']
AIMC,$26.47,1439681710336,[u'138,888']
AMRN,$2.34,1439681710380,[u'507,489']
AYA,$23.16,1439681710402,[u'29,252']
AMZN,$531.8,1439681710449,[u'1,034,705']
AMBC,$16.8,1439681710501,[u'162,638']
AMRK,$10.59,1439681710616,[u'3,382']
AMBCW,$8.26,1439681710627,[u'2,275']
AMCX,$74.87,1439681710736,[u'298,626']
AMBA,$108.62,1439681710806,[u'850,438']
EPAX,$2.41,1439681710844,[u'319,443']
AMED,$45.38,1439681710969,[u'117,758']
AMDA,$0.51,1439681710980,[u'1,545,260']
DOX,$60.03,1439681711000,[u'461,039']
UHAL,$384.51,1439681711094,[u'18,282']
ATAX,$5.35,1439681711148,[u'56,831']
ASBI,$22.88,1439681711247,[u'851']
AMOV,$18.68,1439681711298,[u'2,426']
AGNCP,$25.28,1439681711344,[u'2,679']
AGNC,$19.95,1439681711371,[u'1,320,962']
AAL,$42.94,1439681711429,[u'2,788,427']
AGNCB,$24.2,1439681711478,[u'4,281']
MTGE,$15.82,1439681711498,[u'166,745']
MTGEP,NULL,1439681711663,[]
ACSF,$12.8,1439681711703,[u'27,575']
ANCI,$1.69,1439681711733,[u'1,232']
AETI,$4.05,1439681711784,[u'1,241']
AMNB,$23.23,1439681711817,[u'8,672']
ACAS,$14.23,1439681711839,[u'595,829']
ANAT,$104.931,1439681712027,[u'15,994']
APEI,$22.03,1439681712047,[u'36,788']
AMRB,$10.1,1439681712115,[u'5,564']
ASEI,$39.89,1439681712157,[u'32,018']
AMSWA,$9.31,1439681712198,[u'28,210']
AMIC,$10.26,1439681712231,[u'3']
ARII,$40.52,1439681712282,[u'156,983']
AMSC,$4.11,1439681712417,[u'25,769']
AMWD,$65.3878,1439681712447,[u'87,312']
CRMT,$46.35,1439681712477,[u'13,664']
AMSF,$50.37,1439681712511,[u'30,540']
ABCB,$28.058,1439681712543,[u'122,269']
ASRV,$3.3,1439681712588,[u'2,858']
ASRVP,NULL,1439681712644,[]
ATLO,$23.46,1439681712790,[u'3,702']
FOLD,$15.97,1439681712903,[u'824,112']
AMGN,$167.72,1439681712940,[u'1,715,864']
AMKR,$4.45,1439681712984,[u'785,910']
AMPH,$14.64,1439681713041,[u'158,759']
AMSGP,NULL,1439681713107,[]
AFSI,$62.9255,1439681713153,[u'254,270']
AMSG,$84.8,1439681713183,[u'199,521']
ASYS,$5.83,1439681713237,[u'54,662']
AMRS,$1.68,1439681713290,[u'87,693']
ANAC,$136.22,1439681713345,[u'395,676']
ALOG,$78.8,1439681713452,[u'69,157']
ANAD,$0.3061,1439681713547,[u'553,257']
ABCW,$41.532,1439681713611,[u'13,741']
ADI,$58.84,1439681713639,[u'871,498']
ANCB,$22.95,1439681713669,[u'830']
AMCF,$0.3,1439681713713,[u'36,055']
ANGI,$4.4,1439681713793,[u'217,296']
ANGO,$14.88,1439681713925,[u'59,404']
ANIP,$54.76,1439681713942,[u'152,414']
ANIK,$35.96,1439681713970,[u'57,914']
ATRS,$1.89,1439681714043,[u'387,131']
ANSS,$94.26,1439681714093,[u'265,800']
ABAC,$0.92,1439681714133,[u'4,540']
ATNY,$2.41,1439681714175,[u'1,519']
ANTH,$9.22,1439681714191,[u'581,423']
APIC,$8.14,1439681714265,[u'120,354']
APOG,$54.27,1439681714457,[u'230,022']
APOL,$11.77,1439681714544,[u'591,187']
AAPL,$116.14,1439681714594,[u'24,640,968']
APPF,$16.75,1439681714611,[u'25,821']
AINV,$6.7571,1439681714627,[u'1,466,887']
APDNW,$1.29,1439681714673,[u'2,500']
APDN,$3.37,1439681714703,[u'80,801']
ARCI,$1.36,1439681714741,[u'543']
AGTC,$15.64,1439681714900,[u'42,383']
AAOI,$22.11,1439681714930,[u'229,080']
AMCC,$5.85,1439681714967,[u'944,701']
AMAT,$16.64,1439681714992,[u'24,370,499']
AREX,$2.69,1439681715025,[u'237,180']
APRI,$1.19,1439681715097,[u'45,007']
APTO,$5.26,1439681715124,[u'1,382']
AQMS,$5.44,1439681715232,[u'36,756']
AUMA,$9.75,1439681715357,[u'1,486']
AQXP,$22.25,1439681715400,[u'2,857,817']
ARDM,$7.49,1439681715558,[u'164']
ABUS,$8.4978,1439681715569,[u'297,770']
ARCW,$3.74,1439681715594,[u'6,686']
PETX,$16.98,1439681715615,[u'171,169']
AUMAU,NULL,1439681715631,[]
AUMAW,$0.27,1439681715653,[u'9,600']
ABIO,$0.92,1439681715780,[u'222,980']
RKDA,$4.69,1439681715904,[u'10,701']
ACAT,$30,1439681715974,[u'78,303']
ACGL,$73.4547,1439681715998,[u'200,784']
ARCB,$32.61,1439681716020,[u'134,416']
ARDX,$18.91,1439681716040,[u'59,867']
ARNA,$3.397,1439681716072,[u'1,055,655']
AGIIL,$25.37,1439681716306,[u'3,309']
ARCC,$16.14,1439681716327,[u'687,294']
AGII,$57.86,1439681716346,[u'79,188']
ARIA,$7.27,1439681716396,[u'1,332,183']
ARGS,$4.21,1439681716419,[u'14,978']
ARIS,$3.32,1439681716450,[u'300']
ARKR,$25.4,1439681716474,[u'116']
ARTX,$1.57,1439681716616,[u'104,073']
ARWA,NULL,1439681716684,[]
ARMH,$42.47,1439681716755,[u'10,028,759']
ARWAR,NULL,1439681716803,[]
ARWAU,$10.11,1439681716830,[u'1,334']
ARWAW,NULL,1439681716858,[]
ARQL,$1.69,1439681716874,[u'44,695']
ARRY,$5.7,1439681716960,[u'635,862']
AROW,$27.56,1439681717168,[u'9,694']
ARRS,$27.5836,1439681717193,[u'439,421']
DWAT,$10.4642,1439681717210,[u'1,950']
ARWR,$5.52,1439681717221,[u'981,689']
ARTNA,$22.38,1439681717278,[u'13,665']
ARTW,$4.5,1439681717340,[u'2,770']
ASBB,$24.82,1439681717426,[u'232']
ASNA,$12.36,1439681717492,[u'725,469']
ASND,$17.02,1439681717610,[u'67,219']
ASCMA,$29.02,1439681717633,[u'105,505']
ASTI,$0.22,1439681717650,[u'731,544']
APWC,$2.0912,1439681717671,[u'1,000']
ASMI,$38.99,1439681717723,[u'1,156']
ASML,$92.69,1439681717778,[u'1,154,458']
ASMB,$13.28,1439681717944,[u'51,498']
AZPN,$37.65,1439681717974,[u'2,950,503']
ALOT,$13.89,1439681718029,[u'1,069']
ASFI,$9.14,1439681718054,[u'11,702']
ASTE,$38.59,1439681718070,[u'65,215']
ASTC,$2.39,1439681718135,[u'9,367']
ATRO,$60.31,1439681718165,[u'151,389']
ASUR,$6.07,1439681718294,[u'5,246']
ATAI,$3.19,1439681718374,[u'8,015']
ATHN,$138.1303,1439681718432,[u'123,936']
ATHX,$1.19,1439681718455,[u'84,041']
ATRA,$47.18,1439681718507,[u'101,591']
AFCB,$28,1439681718546,[u'518']
AAPC,$10.17,1439681718638,[u'21']
ACFC,$6.1,1439681718695,[u'67,949']
AAME,$3.59,1439681718727,[u'4,202']
ATNI,$74.13,1439681718791,[u'33,722']
AAWW,$45.06,1439681718859,[u'109,644']
AFH,$17,1439681718884,[u'26,478']
ATLC,$3.98,1439681718903,[u'1,571']
ATML,$7.81,1439681718987,[u'2,155,297']
ATRC,$26.46,1439681719075,[u'83,571']
ATOS,$0.98,1439681719208,[u'56,888']
ATRI,$407,1439681719228,[u'1,781']
ATRM,$3.07,1439681719258,[u'908']
ATTU,$14.58,1439681719404,[u'48,192']
AUBN,$27.14,1439681719424,[u'130']
LIFE,$14.33,1439681719461,[u'25,342']
AUPH,$3.42,1439681719485,[u'11,765']
EARS,$5.04,1439681719496,[u'6,000']
AUDC,$3.18,1439681719522,[u'91,957']
ADAT,$0.1051,1439681719630,[u'43,263']
AVGO,$122.2,1439681719849,[u'1,569,400']
ABTL,$19.79,1439681719869,[u'170,648']
ADSK,$54.86,1439681719924,[u'665,236']
ADP,$82.8833,1439681719980,[u'1,297,619']
AAVL,$10.03,1439681720001,[u'3,871,799']
AVNU,$13.1,1439681720057,[u'284']
AVNW,$1.14,1439681720117,[u'63,992']
AVID,$9.15,1439681720164,[u'308,546']
AVEO,$1.17,1439681720184,[u'377,529']
CAR,$44.07,1439681720307,[u'1,131,755']
AWRE,$3.23,1439681720344,[u'8,828']
AXPW,$1.19,1439681720405,[u'138,494']
ACLS,$3.21,1439681720432,[u'292,850']
AXPWW,NULL,1439681720535,[]
AVGR,$15.46,1439681720578,[u'32,693']
AXGN,$3.78,1439681720664,[u'11,354']
RILY,$10,1439681720778,[u'2,210']
BOSC,$2.24,1439681720878,[u'4,700']
BIDU,$164.65,1439681720898,[u'2,586,841']
BCOM,$19.49,1439681720942,[u'456']
AXTI,$2.21,1439681721005,[u'24,702']
BCPC,$60.4,1439681721015,[u'113,481']
BWINA,$23.35,1439681721035,[u'300']
BEAV,$51.17,1439681721058,[u'283,649']
BWINB,$23.34,1439681721158,[u'5,299']
BLDP,$1.34,1439681721252,[u'164,191']
BANF,$62.967,1439681721317,[u'9,943']
BKMU,$7.35,1439681721361,[u'42,685']
BANFP,NULL,1439681721391,[]
OZRK,$43.87,1439681721604,[u'189,645']
BKSC,$15.97,1439681721626,[u'2,380']
BOCH,$5.8,1439681721659,[u'7,263']
BWFG,$18.28,1439681721714,[u'526']
BOTJ,$11.18,1439681721756,[u'1,114']
BMRC,$48.09,1439681721767,[u'12,032']
BZUN,$7.73,1439681721788,[u'69,178']
BFIN,$12.3,1439681721812,[u'13,153']
BANR,$47.94,1439681721948,[u'34,342']
TAPR,$31.71,1439681721991,[u'1,155']
BHAC,NULL,1439681722031,[]
BHACR,NULL,1439681722121,[]
BHACU,NULL,1439681722223,[]
BHACW,$0.1301,1439681722289,[u'223']
BBSI,$37.64,1439681722362,[u'41,946']
BV,$5.38,1439681722449,[u'155,355']
BYLK,$12.94,1439681722469,[u'1,864']
BYBK,$5.11,1439681722516,[u'5,086']
BCBP,$11.71,1439681722538,[u'3,158']
BSET,$31.45,1439681722584,[u'35,614']
BBCN,$15.55,1439681722681,[u'167,531']
BDCV,$5.03,1439681722707,[u'688']
BECN,$36.2544,1439681722718,[u'195,135']
BSF,$9.11,1439681722883,[u'13,169']
BBGI,$4.94,1439681722948,[u'544']
BEBE,$1.85,1439681723016,[u'90,320']
BBBY,$63.18,1439681723035,[u'1,178,399']
BELFA,$17.18,1439681723105,[u'18']
BELFB,$20.13,1439681723186,[u'31,899']
BLCM,$18.48,1439681723236,[u'194,850']
BLPH,$4.06,1439681723293,[u'30,581']
BNFT,$38.23,1439681723355,[u'290,873']
BNTC,NULL,1439681723386,[]
BGCP,$9.59,1439681723406,[u'448,030']
BNCL,$12.87,1439681723446,[u'173,559']
BGMD,$0.8211,1439681723457,[u'323,491']
ORPN,$5.45,1439681723681,[u'13,788']
BIND,$4.43,1439681723716,[u'24,590']
BGFV,$11.09,1439681723769,[u'44,403']
BASI,$1.79,1439681723811,[u'3,070']
BCDA,NULL,1439681723881,[]
BIOC,$1.85,1439681723924,[u'194,442']
BCRX,$11.68,1439681723957,[u'517,381']
BIOD,$0.7316,1439681724031,[u'685,384']
BDSI,$6.6,1439681724138,[u'832,542']
BMRN,$134.51,1439681724224,[u'440,002']
BIIB,$311,1439681724261,[u'1,139,650']
BIOL,$1.62,1439681724308,[u'13,674']
BLFS,$2.16,1439681724327,[u'266,859']
BLRX,$1.51,1439681724385,[u'57,510']
BVXV,$4.25,1439681724485,[u'2,802']
BVXVW,NULL,1439681724500,[]
BRLI,$35.45,1439681724638,[u'176,022']
BBC,$32.17,1439681724704,[u'13,726']
BPTH,$1.18,1439681724753,[u'50,108']
BIOS,$1.35,1439681724837,[u'2,048,445']
BSTC,$51.19,1439681724864,[u'57,413']
BSPM,$0.68,1439681724877,[u'51,823']
BBP,$33.75,1439681724900,[u'25,634']
BOTA,$2.33,1439681725007,[u'16,624']
TECH,$105.65,1439681725176,[u'57,393']
BEAT,$11.62,1439681725205,[u'77,838']
BITI,$19.31,1439681725226,[u'49,440']
BDMS,$13.2,1439681725250,[u'6']
BBOX,$15.86,1439681725311,[u'63,754']
BJRI,$46.18,1439681725333,[u'155,592']
BLKB,$62.98,1439681725470,[u'108,814']
BDE,$7.43,1439681725685,[u'150,675']
HAWK,$43.5,1439681725729,[u'241,541']
BBRY,$7.6,1439681725782,[u'1,853,462']
ADRA,$28.75,1439681725812,[u'3,946']
BKCC,$9.51,1439681725849,[u'235,395']
ADRU,$23.2666,1439681725951,[u'934']
ADRD,$23.44,1439681726024,[u'402']
BLMN,$21.66,1439681726048,[u'654,740']
ADRE,$31.45,1439681726064,[u'17,219']
BCOR,$13.83,1439681726208,[u'105,205']
BBLU,$0.9223,1439681726260,[u'105,042']
BLBD,$12.93,1439681726369,[u'3,084']
NILE,$34.68,1439681726380,[u'70,839']
BUFF,$26.87,1439681726401,[u'821,531']
BHBK,$14.5,1439681726448,[u'28,477']
BLUE,$127.26,1439681726546,[u'483,144']
BOBE,$46.61,1439681726820,[u'55,212']
BNCN,$21.89,1439681726850,[u'88,290']
BKEPP,$7.89,1439681726863,[u'27']
BPMC,$26.55,1439681726882,[u'75,584']
BOFI,$128.5,1439681726911,[u'140,173']
