TFSC,NULL,1439682002766,[]
PIH,$7.64,1439682002804,[u'1,730']
TFSCR,NULL,1439682002818,[]
TFSCW,NULL,1439682002847,[]
SYMBOL,NULL,1439682002872,[]
TFSCU,$10.14,1439682002903,[u'1,300']
FCCY,$11.5,1439682002918,[u'16,670']
SRCE,$31.28,1439682002972,[u'21,517']
TWOU,$36.03,1439682003177,[u'576,550']
DSLV,$62.91,1439682003208,[u'21,916']
DGLD,$85.97,1439682003240,[u'2,192']
VNET,$20.66,1439682003257,[u'200,730']
UGLD,$8.83,1439682003318,[u'94,710']
FLWS,$9.56,1439682003351,[u'126,247']
USLV,$14.535,1439682003376,[u'190,883']
FCTY,$7.61,1439682003403,[u'4,394']
SIXD,$3.03,1439682003747,[u'277,881']
EGHT,$8.55,1439682003800,[u'333,074']
AVHI,$14.11,1439682003841,[u'28,080']
CAFD,$15.77,1439682003864,[u'185,031']
JOBS,$28.7271,1439682003890,[u'106,996']
AAON,$23.23,1439682004031,[u'51,218']
ABAX,$48.45,1439682004071,[u'84,225']
SHLM,$35.6,1439682004101,[u'80,215']
ABGB,$5.07,1439682004126,[u'74,422']
ABY,$22.52,1439682004172,[u'705,220']
ABEO,$5.35,1439682004313,[u'186,951']
AXAS,$1.81,1439682004350,[u'379,122']
ABEOW,$2.13,1439682004380,[u'1,800']
ACHC,$81.02,1439682004423,[u'311,607']
ABMD,$103.92,1439682004455,[u'557,866']
ACTG,$8.57,1439682004501,[u'116,786']
AXDX,$19.22,1439682004746,[u'155,089']
ACAD,$37.88,1439682004795,[u'571,839']
ANCX,$19.13,1439682004828,[u'19,975']
ACST,$0.41,1439682004854,[u'20,840']
XLRN,$31.28,1439682004904,[u'212,721']
ARAY,$6.23,1439682004974,[u'283,727']
VXDN,$16.72,1439682005000,[u'1,110']
VXUP,$17.05,1439682005120,[u'14,800']
ACRX,$4.46,1439682005150,[u'81,777']
ACET,$25.32,1439682005232,[u'55,221']
ACIW,$23.03,1439682005265,[u'255,964']
AKAO,$7.64,1439682005292,[u'182,132']
ACHN,$7.35,1439682005319,[u'1,246,701']
ACNB,$20.2,1439682005464,[u'12,133']
ACOR,$31.84,1439682005491,[u'146,788']
ACTS,$1.57,1439682005543,[u'17,679']
ACPW,$1.92,1439682005677,[u'26,789']
ACTA,$13.65,1439682005740,[u'87,725']
ATVI,$28.6766,1439682005767,[u'1,426,727']
ACUR,$0.66,1439682005789,[u'12,742']
ADMS,$22.15,1439682005880,[u'68,231']
ACXM,$21.16,1439682005908,[u'163,423']
ADMP,$3.49,1439682005931,[u'43,459']
ADUS,$28.7,1439682006046,[u'31,604']
ADAP,$14.36,1439682006101,[u'65,347']
AEY,$2.38,1439682006142,[u'372']
ADEP,$7.17,1439682006202,[u'23,908']
ADBE,$86.12,1439682006247,[u'1,488,568']
ADMA,$9.31,1439682006280,[u'6,927']
