SYMBOL,NULL,1439682302907,[]
TFSCW,NULL,1439682302995,[]
PIH,$7.64,1439682303058,[u'1,730']
TFSCU,$10.14,1439682303076,[u'1,300']
FLWS,$9.56,1439682303095,[u'126,247']
FCTY,$7.61,1439682303113,[u'4,394']
TFSCR,NULL,1439682303132,[]
TFSC,NULL,1439682303157,[]
FCCY,$11.5,1439682303286,[u'16,670']
SRCE,$31.28,1439682303437,[u'21,517']
VNET,$20.66,1439682303457,[u'200,730']
DGLD,$85.97,1439682303513,[u'2,192']
DSLV,$62.91,1439682303555,[u'21,916']
TWOU,$36.03,1439682303587,[u'576,550']
USLV,$14.535,1439682303604,[u'190,883']
UGLD,$8.83,1439682303624,[u'94,710']
JOBS,$28.7271,1439682303884,[u'106,996']
SIXD,$3.03,1439682303936,[u'277,881']
AVHI,$14.11,1439682303967,[u'28,080']
EGHT,$8.55,1439682303991,[u'333,074']
CAFD,$15.77,1439682304031,[u'185,031']
SHLM,$35.6,1439682304045,[u'80,215']
ABY,$22.52,1439682304153,[u'705,220']
AAON,$23.23,1439682304171,[u'51,218']
ABAX,$48.45,1439682304337,[u'84,225']
ABGB,$5.07,1439682304355,[u'74,422']
ABEO,$5.35,1439682304392,[u'186,951']
ABEOW,$2.13,1439682304444,[u'1,800']
AXAS,$1.81,1439682304490,[u'379,122']
ACTG,$8.57,1439682304617,[u'116,786']
ABMD,$103.92,1439682304631,[u'557,866']
ACHC,$81.02,1439682304748,[u'311,607']
ACST,$0.41,1439682305043,[u'20,840']
ACAD,$37.88,1439682305065,[u'571,839']
VXDN,$16.72,1439682305081,[u'1,110']
ANCX,$19.13,1439682305092,[u'19,975']
AXDX,$19.22,1439682305112,[u'155,089']
XLRN,$31.28,1439682305268,[u'212,721']
VXUP,$17.05,1439682305281,[u'14,800']
ARAY,$6.23,1439682305339,[u'283,727']
AKAO,$7.64,1439682305473,[u'182,132']
ACRX,$4.46,1439682305483,[u'81,777']
ACET,$25.32,1439682305505,[u'55,221']
ACHN,$7.35,1439682305522,[u'1,246,701']
ACIW,$23.03,1439682305605,[u'255,964']
ACNB,$20.2,1439682305879,[u'12,133']
ACTS,$1.57,1439682305898,[u'17,679']
ACTA,$13.65,1439682305916,[u'87,725']
ATVI,$28.6766,1439682305930,[u'1,426,727']
ACOR,$31.84,1439682305958,[u'146,788']
ACUR,$0.66,1439682305979,[u'12,742']
ACXM,$21.16,1439682306001,[u'163,423']
ACPW,$1.92,1439682306018,[u'26,789']
ADMS,$22.15,1439682306330,[u'68,231']
ADMP,$3.49,1439682306381,[u'43,459']
ADUS,$28.7,1439682306455,[u'31,604']
ADAP,$14.36,1439682306476,[u'65,347']
AEY,$2.38,1439682306556,[u'372']
ADEP,$7.17,1439682306584,[u'23,908']
ADMA,$9.31,1439682306643,[u'6,927']
ADTN,$15.95,1439682306719,[u'966,602']
ADRO,$20.83,1439682306761,[u'165,437']
AEIS,$26.64,1439682306795,[u'69,176']
ADBE,$86.12,1439682306819,[u'1,488,568']
