FCCY,$11.5,1439683802592,16670
TWOU,$36.03,1439683803062,576550
PIH,$7.64,1439683803080,1730
SRCE,$31.28,1439683803465,21517
DGLD,$85.97,1439683803486,2192
VNET,$20.66,1439683803754,200730
FCTY,$7.61,1439683803813,4394
DSLV,$62.91,1439683803940,21916
USLV,$14.535,1439683803958,190883
TFSCU,$10.14,1439683804182,1300
UGLD,$8.83,1439683804327,94710
JOBS,$28.7271,1439683804692,106996
SIXD,$3.03,1439683804792,277881
EGHT,$8.55,1439683804811,333074
CAFD,$15.77,1439683804859,185031
SHLM,$35.6,1439683805186,80215
ABY,$22.52,1439683805279,705220
AVHI,$14.11,1439683805300,28080
ABAX,$48.45,1439683805371,84225
ABGB,$5.07,1439683805591,74422
AAON,$23.23,1439683805758,51218
ABEO,$5.35,1439683805977,186951
ABEOW,$2.13,1439683806110,1800
ABMD,$103.92,1439683806128,557866
AXAS,$1.81,1439683806238,379122
ACTG,$8.57,1439683806469,116786
ACAD,$37.88,1439683806527,571839
ACHC,$81.02,1439683806646,311607
XLRN,$31.28,1439683806922,212721
ACST,$0.41,1439683806942,20840
AXDX,$19.22,1439683807013,155089
ANCX,$19.13,1439683807212,19975
VXUP,$17.05,1439683807393,14800
VXDN,$16.72,1439683807411,1110
FLWS,$9.56,1439683807495,126247
ARAY,$6.23,1439683807555,283727
ACRX,$4.46,1439683807672,81777
ACET,$25.32,1439683807765,55221
AKAO,$7.64,1439683807877,182132
ACIW,$23.03,1439683808027,255964
ACHN,$7.35,1439683808123,1246701
ACNB,$20.2,1439683808277,12133
ACOR,$31.84,1439683808415,146788
ACPW,$1.92,1439683808583,26789
ACTS,$1.57,1439683808625,17679
ATVI,$28.6766,1439683808636,1426727
ACXM,$21.16,1439683808826,163423
ADMS,$22.15,1439683808860,68231
ADMP,$3.49,1439683809097,43459
ADAP,$14.36,1439683809193,65347
ACUR,$0.66,1439683809214,12742
ADUS,$28.7,1439683809257,31604
ACTA,$13.65,1439683809276,87725
AEY,$2.38,1439683809518,372
ADEP,$7.17,1439683809537,23908
ADMA,$9.31,1439683809589,6927
ADRO,$20.83,1439683809755,165437
ADBE,$86.12,1439683809823,1488568
AEIS,$26.64,1439683810025,69176
AMD,$1.84,1439683810047,4424699
ADXS,$16.7101,1439683810198,752304
ADXSW,$11.8,1439683810266,14645
AEGR,$17.98,1439683810393,572297
YPRO,$23.04,1439683810564,9376
AEGN,$19.05,1439683810710,123840
AMTX,$3.45,1439683810746,24341
AEHR,$2.25,1439683810764,3082
AEPI,$57.37,1439683810985,21296
AVAV,$26.28,1439683811128,73093
AERI,$15.37,1439683811150,324248
ADTN,$15.95,1439683811196,966602
AEZS,$0.1499,1439683811247,13347466
AEMD,$6.99,1439683811303,55905
AFFX,$9.64,1439683811603,488622
AFMD,$11.15,1439683811683,334621
AGRX,$9.06,1439683811751,32532
AGEN,$7.27,1439683811797,586801
AGYS,$9.38,1439683811816,30967
AGIO,$90.75,1439683812061,345968
AGFSW,$2.34,1439683812135,25900
AIRM,$39.93,1439683812301,106084
AIMT,$26.05,1439683812376,232264
AGFS,$10.85,1439683812419,74835
AIRT,$23.2,1439683812431,250
ATSG,$9.76,1439683812536,88070
AKBA,$7.1,1439683812862,263383
AKRX,$42.92,1439683812894,267001
AKER,$3.89,1439683812912,9034
AIXG,$5.94,1439683812942,8324
AMCN,$4.82,1439683813000,151232
AKAM,$73.37,1439683813011,773832
ALRM,$16.91,1439683813263,68575
ALSK,$2.08,1439683813386,97807
ABDC,$12.93,1439683813405,35070
AMRI,$20.55,1439683813485,197494
ALDX,$8.04,1439683813541,21110
ADHD,$8.71,1439683813564,222034
ALXA,$1.14,1439683813727,26913
ALDR,$36.83,1439683813755,390608
ALXN,$185.41,1439683813780,547448
ALCO,$43.45,1439683813862,31219
ALIM,$3.89,1439683813881,99554
ALLB,$23.73,1439683813942,13869
ALKS,$65.81,1439683814001,824990
ALGN,$60.57,1439683814021,200157
ALGT,$232.87,1439683814119,82221
AFOP,$18.88,1439683814220,59913
AIQ,$15.22,1439683814242,11364
AHPI,$1.45,1439683814435,840
ARLP,$24.81,1439683814452,237016
ALQA,$4.71,1439683814472,14930
AMOT,$18.36,1439683814533,47491
MDRX,$14.2339,1439683814636,2021647
AOSL,$7.51,1439683814861,50258
ALNY,$105.74,1439683815001,277534
ATEC,$0.69,1439683815025,172754
AFAM,$48.29,1439683815041,41050
ALTR,$49.03,1439683815061,1221987
AHGP,$35.97,1439683815310,35741
ALLT,$5.12,1439683815397,58210
ASPS,$29.91,1439683815465,79204
AMRN,$2.34,1439683815522,507489
AMAG,$62.95,1439683815534,322216
AIMC,$26.47,1439683815562,138888
AMRK,$10.59,1439683815585,3382
AYA,$23.16,1439683815823,29252
AMBCW,$8.26,1439683815893,2275
EPAX,$2.41,1439683815966,319443
DOX,$60.03,1439683816034,461039
AMBA,$108.62,1439683816081,850438
AMZN,$531.8,1439683816097,1034705
AMBC,$16.8,1439683816149,162638
AMDA,$0.51,1439683816247,1545260
AMCX,$74.87,1439683816381,298626
AMED,$45.38,1439683816417,117758
UHAL,$384.51,1439683816498,18282
ASBI,$22.88,1439683816556,851
ATAX,$5.35,1439683816630,56831
AMOV,$18.68,1439683816688,2426
AAL,$42.94,1439683816760,2788427
AGNCB,$24.2,1439683816797,4281
AGNC,$19.95,1439683816816,1320962
AGNCP,$25.28,1439683816880,2679
MTGE,$15.82,1439683816906,166745
ACSF,$12.8,1439683817053,27575
ACAS,$14.23,1439683817194,595829
ANCI,$1.69,1439683817220,1232
AETI,$4.05,1439683817316,1241
ANAT,$104.931,1439683817398,15994
AMIC,$10.26,1439683817424,3
AMNB,$23.23,1439683817440,8672
APEI,$22.03,1439683817460,36788
ARII,$40.52,1439683817554,156983
ASEI,$39.89,1439683817649,32018
AMRB,$10.1,1439683817790,5564
AMSWA,$9.31,1439683817803,28210
AMWD,$65.3878,1439683817847,87312
AMSC,$4.11,1439683817867,25769
CRMT,$46.35,1439683818024,13664
ABCB,$28.058,1439683818043,122269
ASRV,$3.3,1439683818085,2858
AMSF,$50.37,1439683818101,30540
ATLO,$23.46,1439683818221,3702
AMGN,$167.72,1439683818250,1715864
AMKR,$4.45,1439683818382,785910
AMPH,$14.64,1439683818413,158759
FOLD,$15.97,1439683818431,824112
AMSG,$84.8,1439683818612,199521
AFSI,$62.9255,1439683818742,254270
ASYS,$5.83,1439683818761,54662
AMRS,$1.68,1439683818780,87693
ANAC,$136.22,1439683818859,395676
ANAD,$0.3061,1439683818877,553257
