Symbol,Price,Date,Volume
PIH,7.64,1439766475378,1730
TFSC,NULL,1439766475406,0
TFSCU,10.14,1439766475432,1300
TFSCW,NULL,1439766475479,0
FLWS,9.56,1439766475505,126247
FCTY,7.61,1439766475529,4394
TFSCR,NULL,1439766475558,0
FCCY,11.5,1439766475605,16670
VNET,20.66,1439766475762,200730
UGLD,8.83,1439766475792,94710
SRCE,31.28,1439766475826,21517
DSLV,62.91,1439766475893,21916
DGLD,85.97,1439766475917,2192
USLV,14.535,1439766475942,190883
TWOU,36.03,1439766475993,576550
JOBS,28.7271,1439766476073,106996
SHLM,35.6,1439766476309,80215
SIXD,3.03,1439766476327,277881
CAFD,15.77,1439766476355,185031
EGHT,8.55,1439766476381,333074
AVHI,14.11,1439766476404,28080
AAON,23.23,1439766476426,51218
ABY,22.52,1439766476488,705220
ABAX,48.45,1439766476623,84225
ABGB,5.07,1439766476676,74422
ABEOW,2.13,1439766476705,1800
ABEO,5.35,1439766476723,186951
AXAS,1.81,1439766476774,379122
ABMD,103.92,1439766476800,557866
ACTG,8.57,1439766476854,116786
ACHC,81.02,1439766477016,311607
ACAD,37.88,1439766477044,571839
AXDX,19.22,1439766477118,155089
ACST,0.41,1439766477142,20840
XLRN,31.28,1439766477167,212721
ANCX,19.13,1439766477213,19975
VXUP,17.05,1439766477298,14800
ARAY,6.23,1439766477327,283727
VXDN,16.72,1439766477349,1110
AKAO,7.64,1439766477521,182132
ACHN,7.35,1439766477545,1246701
ACET,25.32,1439766477568,55221
ACRX,4.46,1439766477603,81777
ACNB,20.2,1439766477770,12133
ACIW,23.03,1439766477799,255964
ACOR,31.84,1439766477872,146788
ACUR,0.66,1439766477899,12742
ACTS,1.57,1439766477953,17679
ATVI,28.6766,1439766477980,1426727
ACTA,13.65,1439766477998,87725
ACPW,1.92,1439766478028,26789
ACXM,21.16,1439766478235,163423
ADMS,22.15,1439766478282,68231
ADAP,14.36,1439766478305,65347
ADMP,3.49,1439766478327,43459
ADUS,28.7,1439766478390,31604
ADEP,7.17,1439766478463,23908
AEY,2.38,1439766478536,372
ADBE,86.12,1439766478600,1488568
ADTN,15.95,1439766478624,966602
AEIS,26.64,1439766478654,69176
ADRO,20.83,1439766478683,165437
ADMA,9.31,1439766478755,6927
AMD,1.84,1439766478783,4424699
ADXSW,11.8,1439766478881,14645
ADXS,16.7101,1439766478914,752304
MULT,NULL,1439766479089,0
YPRO,23.04,1439766479126,9376
AEGN,19.05,1439766479169,123840
AEHR,2.25,1439766479197,3082
AEPI,57.37,1439766479226,21296
AEGR,17.98,1439766479270,572297
AMTX,3.45,1439766479302,24341
AERI,15.37,1439766479410,324248
AVAV,26.28,1439766479444,73093
AEZS,0.1499,1439766479479,13347466
AFMD,11.15,1439766479542,334621
AEMD,6.99,1439766479565,55905
AFFX,9.64,1439766479698,488622
AGEN,7.27,1439766479828,586801
AGRX,9.06,1439766479850,32532
AGIO,90.75,1439766479874,345968
AGYS,9.38,1439766479928,30967
AGFS,10.85,1439766480008,74835
AGFSW,2.34,1439766480030,25900
AIMT,26.05,1439766480108,232264
ATSG,9.76,1439766480214,88070
AIRT,23.2,1439766480242,250
AIXG,5.94,1439766480260,8324
AIRM,39.93,1439766480295,106084
AMCN,4.82,1439766480388,151232
AKAM,73.37,1439766480412,773832
AKBA,7.1,1439766480435,263383
AKER,3.89,1439766480561,9034
AKRX,42.92,1439766480652,267001
