Symbol,Price,Date,Volume,Rating,RatingVoteCount,OneYearEstimate
PIH,$7.71,1440706202434,"10,000",100% bearish,of 1 rating,N/A
FCTY,$7.75,1440706202477,"2,800",100% bullish,of 1 rating,$8.50
TFSCU,NULL,1440706202527,0,Not yet rated,NULL,N/A
TFSCW,NULL,1440706202553,0,100% bearish,of 1 rating,N/A
TFSC,NULL,1440706202579,0,100% bearish,of 1 rating,N/A
TFSCR,NULL,1440706202600,0,Not yet rated,NULL,N/A
FLWS,$8.35,1440706202622,"1,199,644",80% bullish,of 5 ratings,$15
FCCY,$11.72,1440706202653,310,100% bullish,of 1 rating,$13
VNET,$18.005,1440706202886,"862,583",60% bullish,of 5 ratings,$29.50
SRCE,$29.3,1440706202944,"29,769",100% bullish,of 3 ratings,$33
USLV,$12.09,1440706202980,"320,590",86% bullish,of 7 ratings,N/A
JOBS,$27.1838,1440706203012,"341,253",50% bullish,of 4 ratings,$36
DGLD,$83.27,1440706203042,"24,964",100% bullish,of 1 rating,N/A
TWOU,$35.14,1440706203063,"156,767",50% bullish,of 2 ratings,$39
DSLV,$71.6777,1440706203094,"16,570",100% bearish,of 1 rating,N/A
SIXD,$2.91,1440706203415,"163,132",Not yet rated,NULL,N/A
CAFD,$14.23,1440706203441,"280,524",Not yet rated,NULL,$25
EGHT,$7.85,1440706203499,"312,149",82% bullish,of 17 ratings,$11
UGLD,$9.07,1440706203576,"995,613",100% bearish,of 1 rating,N/A
AVHI,$13.48,1440706203652,"103,213",100% bearish,of 1 rating,$19
AAON,$20.73,1440706203677,"61,409",100% bearish,of 1 rating,$24
ABGB,$5.67,1440706203715,"208,730",67% bullish,of 3 ratings,$5.50
SHLM,$33.92,1440706203757,"65,123",100% bearish,of 1 rating,$47
ABY,$21.9,1440706203851,"376,499",100% bearish,of 2 ratings,$46
ABEO,$4.7,1440706203883,"51,291",50% bullish,of 4 ratings,$15.50
ABAX,$47.14,1440706203920,"93,397",100% bearish,of 1 rating,$60
ABMD,$98.2,1440706203987,"293,250",75% bullish,of 4 ratings,$100.50
AXAS,$1.85,1440706204093,"1,104,092",78% bullish,of 9 ratings,$3.50
ABEOW,$1.655,1440706204123,"1,761",100% bullish,of 1 rating,N/A
ACHC,$74.24,1440706204193,"609,899",50% bullish,of 2 ratings,$92
ACTG,$10.26,1440706204219,"202,450",67% bullish,of 3 ratings,$18.50
ACST,$0.35,1440706204609,"37,640",100% bullish,of 2 ratings,N/A
AXDX,$18.57,1440706204648,"109,873",100% bearish,of 1 rating,N/A
ACAD,$37.81,1440706204680,"672,446",80% bullish,of 20 ratings,$48
ARAY,$6.44,1440706204708,"708,182",100% bearish,of 1 rating,$10.50
VXDN,$1.91,1440706204744,"79,146",100% bearish,of 1 rating,N/A
ANCX,$19.58,1440706204775,"15,204",Not yet rated,NULL,$20
VXUP,$1.54,1440706204881,"50,377",100% bearish,of 1 rating,N/A
ACET,$22.4819,1440706204983,"104,628",75% bullish,of 4 ratings,$30
ACRX,$4.31,1440706205083,"166,647",67% bearish,of 6 ratings,$5.50
AKAO,$6.645,1440706205132,"52,872",75% bullish,of 4 ratings,$15
ACHN,$7.5,1440706205237,"1,349,399",90% bullish,of 21 ratings,$16
XLRN,$28.2237,1440706205314,"93,565",50% bullish,of 2 ratings,$57
ACIW,$21.01,1440706205340,"416,304",67% bearish,of 3 ratings,$24
ACTS,$1.62,1440706205414,"50,841",100% bearish,of 1 rating,N/A
ACOR,$31.66,1440706205445,"544,948",67% bearish,of 3 ratings,$38.50
ATVI,$27.93,1440706205513,"3,707,394",68% bullish,of 84 ratings,$31.50
ACNB,$19.82,1440706205541,"2,026",Not yet rated,NULL,N/A
ACPW,$1.82,1440706205565,"13,206",100% bullish,of 4 ratings,$3.50
ACTA,$13.09,1440706205746,"81,415",67% bearish,of 3 ratings,$25
ACUR,$0.55,1440706205773,"116,926",100% bullish,of 5 ratings,$1
ADMP,$3.6879,1440706206031,"15,839",50% bullish,of 2 ratings,$10
ADMS,$20.07,1440706206101,"39,601",100% bearish,of 2 ratings,$36
ACXM,$20.87,1440706206126,"216,732",67% bullish,of 3 ratings,N/A
ADAP,$11.24,1440706206172,"43,608",67% bullish,of 3 ratings,$22
ADEP,$6.78,1440706206265,"18,587",50% bullish,of 2 ratings,$10.75
ADMA,$9.25,1440706206325,"5,950",Not yet rated,NULL,$19
AEY,$2.35,1440706206397,"6,413",100% bearish,of 2 ratings,N/A
ADUS,$28.48,1440706206453,"29,344",100% bearish,of 1 rating,$31
ADBE,$78.78,1440706206478,"2,057,298",65% bullish,of 17 ratings,$90
ADRO,$21.8,1440706206527,"171,315",80% bullish,of 5 ratings,$45.50
ADTN,$15.61,1440706206552,"196,977",67% bullish,of 3 ratings,$17.125
AEIS,$24.64,1440706206618,"101,386",50% bullish,of 2 ratings,$32.50
AMD,$1.775,1440706206692,"6,982,688",83% bullish,of 103 ratings,$2
ADXS,$14.92,1440706206822,"596,073",64% bullish,of 14 ratings,$27
ADXSW,$10.4,1440706206896,"7,330",100% bullish,of 1 rating,N/A
MULT,$22.9,1440706206954,100,100% bearish,of 1 rating,N/A
YPRO,$22.99,1440706207088,113,100% bearish,of 1 rating,N/A
AEGR,$17.77,1440706207176,"305,265",50% bullish,of 6 ratings,$26
AEGN,$18.01,1440706207203,"93,175",100% bearish,of 2 ratings,$21
AEHR,$2.2501,1440706207224,"1,950",50% bullish,of 2 ratings,N/A
AERI,$16.49,1440706207265,"376,491",75% bullish,of 4 ratings,$31.50
AMTX,$2.74,1440706207293,"29,107",50% bullish,of 2 ratings,$26.11
AVAV,$24,1440706207463,"62,849",50% bullish,of 4 ratings,$31
AEPI,$53.94,1440706207491,"8,360",100% bearish,of 1 rating,N/A
AEZS,$0.0853,1440706207516,"7,047,749",90% bullish,of 21 ratings,$1.50
AFMD,$10.13,1440706207656,"79,201",50% bullish,of 4 ratings,$15
AFFX,$9.66,1440706207681,"343,835",80% bullish,of 5 ratings,$12
AGEN,$6.89,1440706207823,"554,072",85% bullish,of 13 ratings,$14
AEMD,$7.11,1440706207915,"175,885",Not yet rated,NULL,$27.50
AGIO,$89.52,1440706207991,"266,485",88% bullish,of 8 ratings,$114
AGYS,$9.5,1440706208019,"12,206",100% bearish,of 1 rating,N/A
AGFS,$10.21,1440706208054,"32,184",100% bearish,of 1 rating,N/A
AGRX,$8.41,1440706208093,"8,111",100% bearish,of 1 rating,$17.50
AIRT,$21.49,1440706208277,500,100% bullish,of 1 rating,N/A
AGFSW,$2.12,1440706208309,"15,800",100% bearish,of 2 ratings,N/A
